object,kind,ra_deg,dec_deg,magnitude1,magnitude2
A2213–2652,Quasar,333.4099,-26.87419,G: 17.32,G: 19.67
CSL-1,Galaxy,185.875,-12.649167,-,
DESJ0245–0556,Quasar,41.356817,-5.94978,G: 19.24,G: 19.73
J0116+4052,Quasar,19.1635,40.8811,-,
J0127–1441,Quasar,21.78539,-14.68861,-,
J0146–1133,Quasar,26.6369,-11.5608,G: 18.71,G: 18.80
J0325-2232,Quasar,51.4511,-22.5409,-,
J0749+2255,Quasar,117.34569,22.91994,-,
J0826+7002,Quasar,126.5341,70.0456,-,
J0907+0003,Quasar,136.79365,0.0560,G: 20.18,G: 20.38
J0907+6224,Quasar,136.9660,62.4116,-,
J0937+5835,Quasar,144.3832,58.5906,-,
J1515+3137,Quasar,228.9106,15.19309,G: 19.96,G: 20.82
J1518+4658,Quasar,229.5129,46.97151,G: 19.82,G: 21.04
J1524+4801,Quasar,231.124279,48.0205585,G: 20.29,G: 20.60
J1540+4445,Quasar,235.10759,44.75457,-,
J1616+1415,Quasar,244.19340,14.2622,G: 19.89,G: 20.47
J2015+0707,Quasar,303.8037,7.1171,-,
J2032–2358,Quasar,308.15741,-23.97291,-,
J2132+2603,Quasar,323.007669,26.05173,G: 19.76,G: 20.88
J2147-1340,Quasar,326.9957,-13.6772,-,
J2250+2117,Quasar,342.6437,21.29,G: 18.62,G: 20.26
J2316+0610,Quasar,349.1335,6.1804,-,
PSJ0417+3325,Quasar,64.496827,33.41700,G: 19.48,G: 19.98
"QSO1146+111B,C",Quasar (5),176.55833,11.195,-,
SDSS1128,?,?,?,-,
SDSS111932,?,?,?,-,
