object,kind,catalog_ra_deg,catalog_dec_deg,used_ra_deg,used_dec_deg,local_fits_count,wcs_fits_count,status,wcs_fits_paths,notes
A2213–2652,Quasar,333.4099,-26.87419,333.4099,-26.87419,15,1,WCS FITS available,targets_photometry/HST_23072024_A2213–2652/HST/hst_17308_b6_acs_wfc_f814w_jf56b6/hst_17308_b6_acs_wfc_f814w_jf56b6_drc.fits,
CSL-1,Galaxy,185.875,-12.649167,185.87708333333333,-12.649166666666666,1,1,WCS FITS available,targets_photometry/HST_11012006_CSL1/j9cq01010_drc.fits,Координаты уточнены по task.md (CSL-1) либо notes_MAST_targets.txt (J1515); требуется проверка первоисточника
DESJ0245–0556,Quasar,41.356817,-5.94978,41.356817,-5.94978,2,2,WCS FITS available,targets_photometry/PS1_cutouts_J0245-0556/J0245-0556_i_240px.fits | targets_photometry/PS1_cutouts_J0245-0556/J0245-0556_r_240px.fits,
J0116+4052,Quasar,19.1635,40.8811,19.1635,40.8811,5,5,WCS FITS available,targets_photometry/PS1_11102010_J0116+4052/rings.v3.skycell.2161.028.stk.g.unconv.fits | targets_photometry/PS1_11102010_J0116+4052/rings.v3.skycell.2161.028.stk.i.unconv.fits | targets_photometry/PS1_11102010_J0116+4052/rings.v3.skycell.2161.028.stk.r.unconv.fits | targets_photometry/PS1_11102010_J0116+4052/rings.v3.skycell.2161.028.stk.y.unconv.fits | targets_photometry/PS1_11102010_J0116+4052/rings.v3.skycell.2161.028.stk.z.unconv.fits,
J0127–1441,Quasar,21.78539,-14.68861,21.78539,-14.68861,7,1,WCS FITS available,targets_photometry/HST_30102025_J0127–1441/jf5622010_drc.fits,
J0146–1133,Quasar,26.6369,-11.5608,26.6369,-11.5608,1,1,WCS FITS available,targets_photometry/HST_26102023_J0146–1133/HST/jf5628010/jf5628010_drc.fits,
J0325-2232,Quasar,51.4511,-22.5409,51.4511,-22.5409,8,2,WCS FITS available,targets_photometry/PS1_cutouts_J0325-2232/J0325-2232_i_240px.fits | targets_photometry/PS1_cutouts_J0325-2232/J0325-2232_r_240px.fits,
J0749+2255,Quasar,117.34569,22.91994,117.34569,22.91994,2,2,WCS FITS available,targets_photometry/HST_01052020_J0749+2255/hst_skycell-p1791x05y15_wfc3_uvis_f475w_all_drc.fits | targets_photometry/HST_01052020_J0749+2255/ie3b28010_drc.fits,
J0826+7002,Quasar,126.5341,70.0456,126.5341,70.0456,13,2,WCS FITS available,targets_photometry/HST_DDMM2003_J0826+7002/jf561f010_drc.fits | targets_photometry/HST_DDMM2003_J0826+7002/jf561fjuq_drz.fits,
J0907+0003,Quasar,136.79365,0.056,136.79365,0.056,2,2,WCS FITS available,targets_photometry/PS1_cutouts_J0907+0003/J0907+0003_i_240px.fits | targets_photometry/PS1_cutouts_J0907+0003/J0907+0003_r_240px.fits,
J0907+6224,Quasar,136.966,62.4116,136.966,62.4116,2,2,WCS FITS available,targets_photometry/PS1_cutouts_J0907+6224/J0907+6224_i_240px.fits | targets_photometry/PS1_cutouts_J0907+6224/J0907+6224_r_240px.fits,
J0937+5835,Quasar,144.3832,58.5906,144.3832,58.5906,2,2,WCS FITS available,targets_photometry/PS1_cutouts_J0937+5835/J0937+5835_i_240px.fits | targets_photometry/PS1_cutouts_J0937+5835/J0937+5835_r_240px.fits,
J1515+3137,Quasar,228.9106,15.19309,228.915975,31.627875,2,2,WCS FITS available,targets_photometry/PS1_cutouts_J1515+3137/J1515+3137_i_240px.fits | targets_photometry/PS1_cutouts_J1515+3137/J1515+3137_r_240px.fits,Координаты уточнены по task.md (CSL-1) либо notes_MAST_targets.txt (J1515); требуется проверка первоисточника
J1518+4658,Quasar,229.5129,46.97151,229.5129,46.97151,2,2,WCS FITS available,targets_photometry/PS1_cutouts_J1518+4658/J1518+4658_i_240px.fits | targets_photometry/PS1_cutouts_J1518+4658/J1518+4658_r_240px.fits,
J1524+4801,Quasar,231.124279,48.0205585,231.124279,48.0205585,2,2,WCS FITS available,targets_photometry/PS1_cutouts_J1524+4801/J1524+4801_i_240px.fits | targets_photometry/PS1_cutouts_J1524+4801/J1524+4801_r_240px.fits,
J1540+4445,Quasar,235.10759,44.75457,235.10759,44.75457,2,2,WCS FITS available,targets_photometry/PS1_cutouts_J1540+4445/J1540+4445_i_240px.fits | targets_photometry/PS1_cutouts_J1540+4445/J1540+4445_r_240px.fits,
J1616+1415,Quasar,244.1934,14.2622,244.1934,14.2622,2,2,WCS FITS available,targets_photometry/PS1_cutouts_J1616+1415/J1616+1415_i_240px.fits | targets_photometry/PS1_cutouts_J1616+1415/J1616+1415_r_240px.fits,
J2015+0707,Quasar,303.8037,7.1171,303.8037,7.1171,2,2,WCS FITS available,targets_photometry/PS1_cutouts_J2015+0707/J2015+0707_i_240px.fits | targets_photometry/PS1_cutouts_J2015+0707/J2015+0707_r_240px.fits,
J2032–2358,Quasar,308.15741,-23.97291,308.15741,-23.97291,2,2,WCS FITS available,targets_photometry/PS1_cutouts_J2032-2358/J2032-2358_i_240px.fits | targets_photometry/PS1_cutouts_J2032-2358/J2032-2358_r_240px.fits,
J2132+2603,Quasar,323.007669,26.05173,323.007669,26.05173,2,2,WCS FITS available,targets_photometry/PS1_cutouts_J2132+2603/J2132+2603_i_240px.fits | targets_photometry/PS1_cutouts_J2132+2603/J2132+2603_r_240px.fits,
J2147-1340,Quasar,326.9957,-13.6772,326.9957,-13.6772,2,2,WCS FITS available,targets_photometry/PS1_cutouts_J2147-1340/J2147-1340_i_240px.fits | targets_photometry/PS1_cutouts_J2147-1340/J2147-1340_r_240px.fits,
