sample_id,object,model,attempt,chisqr,delta_from_best
A2213_2652_hst_17308_b6_acs_wfc_f814w_jf56b6_drc_hdu1,A2213–2652,single,1,527165.976,0.0
A2213_2652_hst_17308_b6_acs_wfc_f814w_jf56b6_drc_hdu1,A2213–2652,single,2,527166.5,0.524
A2213_2652_hst_17308_b6_acs_wfc_f814w_jf56b6_drc_hdu1,A2213–2652,equal_pair,1,779754.729,319893.178
A2213_2652_hst_17308_b6_acs_wfc_f814w_jf56b6_drc_hdu1,A2213–2652,equal_pair,2,459897.837,36.286
A2213_2652_hst_17308_b6_acs_wfc_f814w_jf56b6_drc_hdu1,A2213–2652,equal_pair,3,1127085.029,667223.478
A2213_2652_hst_17308_b6_acs_wfc_f814w_jf56b6_drc_hdu1,A2213–2652,equal_pair,4,459866.302,4.751
A2213_2652_hst_17308_b6_acs_wfc_f814w_jf56b6_drc_hdu1,A2213–2652,equal_pair,5,459862.783,1.232
A2213_2652_hst_17308_b6_acs_wfc_f814w_jf56b6_drc_hdu1,A2213–2652,equal_pair,6,1128343.997,668482.446
A2213_2652_hst_17308_b6_acs_wfc_f814w_jf56b6_drc_hdu1,A2213–2652,equal_pair,7,459861.834,0.283
A2213_2652_hst_17308_b6_acs_wfc_f814w_jf56b6_drc_hdu1,A2213–2652,equal_pair,8,459864.404,2.853
A2213_2652_hst_17308_b6_acs_wfc_f814w_jf56b6_drc_hdu1,A2213–2652,equal_pair,9,1128343.886,668482.335
A2213_2652_hst_17308_b6_acs_wfc_f814w_jf56b6_drc_hdu1,A2213–2652,equal_pair,10,459896.284,34.733
A2213_2652_hst_17308_b6_acs_wfc_f814w_jf56b6_drc_hdu1,A2213–2652,equal_pair,11,459861.551,0.0
A2213_2652_hst_17308_b6_acs_wfc_f814w_jf56b6_drc_hdu1,A2213–2652,equal_pair,12,1128394.338,668532.787
A2213_2652_hst_17308_b6_acs_wfc_f814w_jf56b6_drc_hdu1,A2213–2652,equal_pair,13,459863.335,1.784
A2213_2652_hst_17308_b6_acs_wfc_f814w_jf56b6_drc_hdu1,A2213–2652,equal_pair,14,459866.546,4.995
A2213_2652_hst_17308_b6_acs_wfc_f814w_jf56b6_drc_hdu1,A2213–2652,independent_pair,1,459856.055,33494.075
A2213_2652_hst_17308_b6_acs_wfc_f814w_jf56b6_drc_hdu1,A2213–2652,independent_pair,2,426363.14,1.16
A2213_2652_hst_17308_b6_acs_wfc_f814w_jf56b6_drc_hdu1,A2213–2652,independent_pair,3,426362.792,0.812
A2213_2652_hst_17308_b6_acs_wfc_f814w_jf56b6_drc_hdu1,A2213–2652,independent_pair,4,426361.98,0.0
A2213_2652_hst_17308_b6_acs_wfc_f814w_jf56b6_drc_hdu1,A2213–2652,independent_pair,5,458566.069,32204.089
A2213_2652_hst_17308_b6_acs_wfc_f814w_jf56b6_drc_hdu1,A2213–2652,independent_pair,6,458569.926,32207.946
A2213_2652_hst_17308_b6_acs_wfc_f814w_jf56b6_drc_hdu1,A2213–2652,independent_pair,7,449655.498,23293.518
A2213_2652_hst_17308_b6_acs_wfc_f814w_jf56b6_drc_hdu1,A2213–2652,independent_pair,8,458569.441,32207.461
A2213_2652_hst_17308_b6_acs_wfc_f814w_jf56b6_drc_hdu1,A2213–2652,independent_pair,9,459862.17,33500.19
A2213_2652_hst_17308_b6_acs_wfc_f814w_jf56b6_drc_hdu1,A2213–2652,independent_pair,10,459861.226,33499.246
A2213_2652_hst_17308_b6_acs_wfc_f814w_jf56b6_drc_hdu1,A2213–2652,independent_pair,11,449623.799,23261.819
A2213_2652_hst_17308_b6_acs_wfc_f814w_jf56b6_drc_hdu1,A2213–2652,independent_pair,12,459857.17,33495.19
A2213_2652_hst_17308_b6_acs_wfc_f814w_jf56b6_drc_hdu1,A2213–2652,independent_pair,13,459855.676,33493.696
A2213_2652_hst_17308_b6_acs_wfc_f814w_jf56b6_drc_hdu1,A2213–2652,independent_pair,14,458572.368,32210.388
DESJ0245_0556_J0245-0556_i_240px_hdu0,DESJ0245–0556,single,1,40786.582,0.0
DESJ0245_0556_J0245-0556_i_240px_hdu0,DESJ0245–0556,single,2,40786.662,0.08
DESJ0245_0556_J0245-0556_i_240px_hdu0,DESJ0245–0556,equal_pair,1,4916.263,0.0
DESJ0245_0556_J0245-0556_i_240px_hdu0,DESJ0245–0556,equal_pair,2,4916.289,0.026
DESJ0245_0556_J0245-0556_i_240px_hdu0,DESJ0245–0556,equal_pair,3,4916.268,0.005
DESJ0245_0556_J0245-0556_i_240px_hdu0,DESJ0245–0556,equal_pair,4,4916.265,0.002
DESJ0245_0556_J0245-0556_i_240px_hdu0,DESJ0245–0556,equal_pair,5,4916.349,0.086
DESJ0245_0556_J0245-0556_i_240px_hdu0,DESJ0245–0556,equal_pair,6,4916.272,0.009
DESJ0245_0556_J0245-0556_i_240px_hdu0,DESJ0245–0556,equal_pair,7,4916.265,0.002
DESJ0245_0556_J0245-0556_i_240px_hdu0,DESJ0245–0556,equal_pair,8,4916.264,0.001
DESJ0245_0556_J0245-0556_i_240px_hdu0,DESJ0245–0556,equal_pair,9,4916.272,0.009
DESJ0245_0556_J0245-0556_i_240px_hdu0,DESJ0245–0556,equal_pair,10,4916.264,0.001
DESJ0245_0556_J0245-0556_i_240px_hdu0,DESJ0245–0556,equal_pair,11,4916.265,0.002
DESJ0245_0556_J0245-0556_i_240px_hdu0,DESJ0245–0556,equal_pair,12,4916.277,0.014
DESJ0245_0556_J0245-0556_i_240px_hdu0,DESJ0245–0556,equal_pair,13,4916.263,0.0
DESJ0245_0556_J0245-0556_i_240px_hdu0,DESJ0245–0556,equal_pair,14,4916.265,0.002
DESJ0245_0556_J0245-0556_i_240px_hdu0,DESJ0245–0556,independent_pair,1,4845.329,0.001
DESJ0245_0556_J0245-0556_i_240px_hdu0,DESJ0245–0556,independent_pair,2,4845.337,0.009
DESJ0245_0556_J0245-0556_i_240px_hdu0,DESJ0245–0556,independent_pair,3,4845.337,0.009
DESJ0245_0556_J0245-0556_i_240px_hdu0,DESJ0245–0556,independent_pair,4,4845.338,0.01
DESJ0245_0556_J0245-0556_i_240px_hdu0,DESJ0245–0556,independent_pair,5,4845.328,0.0
DESJ0245_0556_J0245-0556_i_240px_hdu0,DESJ0245–0556,independent_pair,6,4845.333,0.005
DESJ0245_0556_J0245-0556_i_240px_hdu0,DESJ0245–0556,independent_pair,7,4845.329,0.001
DESJ0245_0556_J0245-0556_i_240px_hdu0,DESJ0245–0556,independent_pair,8,4845.331,0.003
DESJ0245_0556_J0245-0556_i_240px_hdu0,DESJ0245–0556,independent_pair,9,4845.33,0.002
