telescope,filter,psf_case,psf_fwhm_arcsec,pixel_scale_arcsec,exposure_s,separation_arcsec,magnitude_each,n,n_detected,n_adequate,n_recovered,recovery_fraction,recovery_ci95_low,recovery_ci95_high,median_redchi,median_abs_separation_error_arcsec
DOT,V,site_median_seeing,1.1004679405125364,0.096,30,0.5,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9441330357675535,0.015564600921205068
DOT,V,site_median_seeing,1.1004679405125364,0.096,30,1.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9640896453680374,0.0075112446166680225
DOT,V,site_median_seeing,1.1004679405125364,0.096,30,2.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9635330667032789,0.007298112379536814
DOT,V,site_median_seeing,1.1004679405125364,0.096,300,0.5,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9929534421435335,0.004650704091379215
DOT,V,site_median_seeing,1.1004679405125364,0.096,300,1.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9717904677169904,0.0026625644071489596
DOT,V,site_median_seeing,1.1004679405125364,0.096,300,2.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.986156239997273,0.003597091996585644
DOT,V,site_median_seeing,1.1004679405125364,0.096,1000,0.5,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,1.0066587464432104,0.002771380190201761
DOT,V,site_median_seeing,1.1004679405125364,0.096,1000,1.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9836180060856439,0.001653301964874565
DOT,V,site_median_seeing,1.1004679405125364,0.096,1000,2.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9910623687127365,0.0017893499800453183
DOT,V,good_site_seeing,0.7007351055112787,0.096,30,0.5,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9234406005908314,0.005588938101645569
DOT,V,good_site_seeing,0.7007351055112787,0.096,30,1.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.91828823648812,0.003742598274937059
DOT,V,good_site_seeing,0.7007351055112787,0.096,30,2.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9411806841135295,0.005002837669945359
DOT,V,good_site_seeing,0.7007351055112787,0.096,300,0.5,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9744710444356864,0.0015551066364180022
DOT,V,good_site_seeing,0.7007351055112787,0.096,300,1.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9596131328838227,0.0012908648788446664
DOT,V,good_site_seeing,0.7007351055112787,0.096,300,2.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9663754033060883,0.0012037630705733493
DOT,V,good_site_seeing,0.7007351055112787,0.096,1000,0.5,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9789673325096673,0.0008383069360523854
DOT,V,good_site_seeing,0.7007351055112787,0.096,1000,1.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9840994557803311,0.0007271609041749616
DOT,V,good_site_seeing,0.7007351055112787,0.096,1000,2.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.977293172889987,0.0008299927102378701
DOT,R,site_median_seeing,1.100647128508603,0.096,30,0.5,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9544226214275489,0.015483395804708894
DOT,R,site_median_seeing,1.100647128508603,0.096,30,1.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9662168096706436,0.011412335205567392
DOT,R,site_median_seeing,1.100647128508603,0.096,30,2.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9623135108062679,0.009324863891321034
DOT,R,site_median_seeing,1.100647128508603,0.096,300,0.5,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9892071578385347,0.002746110954132852
DOT,R,site_median_seeing,1.100647128508603,0.096,300,1.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9709633276858773,0.0025601486859498923
DOT,R,site_median_seeing,1.100647128508603,0.096,300,2.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9813360731892442,0.003016890285360896
DOT,R,site_median_seeing,1.100647128508603,0.096,1000,0.5,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,1.0000065432536214,0.0023934677691759554
DOT,R,site_median_seeing,1.100647128508603,0.096,1000,1.0,20.0,30,30,30,30,1.0,0.8864866068260312,1.0,0.9973509362632369,0.00092511142160423
